sub,File.name,condition,time,Mean.Pitch
5,P005_stranger_Talk_match_Post_Trial_7_2023-05-11,match,post,290.3920664
5,P005_stranger_Talk_match_Post_Trial_8_2023-05-11,match,post,256.4843576
5,P005_stranger_Talk_match_Post_Trial_9_2023-05-11,match,post,278.4744361
5,P005_stranger_Talk_match_Post_Trial_10_2023-05-11,match,post,273.5763656
5,P005_stranger_Talk_match_Pre_Trial_1_2023-05-11,match,pre,264.2594998
5,P005_stranger_Talk_match_Pre_Trial_2_2023-05-11,match,pre,275.1015902
5,P005_stranger_Talk_match_Pre_Trial_3_2023-05-11,match,pre,268.3454017
5,P005_stranger_Talk_match_Pre_Trial_4_2023-05-11,match,pre,256.513255
5,P005_stranger_Talk_match_Pre_Trial_5_2023-05-11,match,pre,275.2306738
5,P005_stranger_Talk_match_Pre_Trial_6_2023-05-11,match,pre,278.9690539
5,P005_stranger_Talk_match_Pre_Trial_7_2023-05-11,match,pre,290.2055381
5,P005_stranger_Talk_match_Pre_Trial_8_2023-05-11,match,pre,283.6117284
5,P005_stranger_Talk_match_Pre_Trial_9_2023-05-11,match,pre,270.8724235
5,P005_stranger_Talk_match_Pre_Trial_10_2023-05-11,match,pre,276.5533547
5,P005_stranger_Talk_mis_Post_Trial_1_2023-05-11,mismatch,post,210.7676494
5,P005_stranger_Talk_mis_Post_Trial_2_2023-05-11,mismatch,post,241.4726618
5,P005_stranger_Talk_mis_Post_Trial_3_2023-05-11,mismatch,post,246.0330981
5,P005_stranger_Talk_mis_Post_Trial_4_2023-05-11,mismatch,post,234.000185
5,P005_stranger_Talk_mis_Post_Trial_5_2023-05-11,mismatch,post,239.7004516
5,P005_stranger_Talk_mis_Post_Trial_6_2023-05-11,mismatch,post,237.2190235
5,P005_stranger_Talk_mis_Post_Trial_7_2023-05-11,mismatch,post,238.2289252
5,P005_stranger_Talk_mis_Post_Trial_8_2023-05-11,mismatch,post,233.9590421
5,P005_stranger_Talk_mis_Post_Trial_9_2023-05-11,mismatch,post,215.7397256
5,P005_stranger_Talk_mis_Post_Trial_10_2023-05-11,mismatch,post,239.6495265
5,P005_stranger_Talk_mis_Pre_Trial_1_2023-05-11,mismatch,pre,244.0015605
5,P005_stranger_Talk_mis_Pre_Trial_2_2023-05-11,mismatch,pre,247.9911126
5,P005_stranger_Talk_mis_Pre_Trial_3_2023-05-11,mismatch,pre,246.0520535
5,P005_stranger_Talk_mis_Pre_Trial_4_2023-05-11,mismatch,pre,242.3725972
5,P005_stranger_Talk_mis_Pre_Trial_5_2023-05-11,mismatch,pre,234.5226452
5,P005_stranger_Talk_mis_Pre_Trial_6_2023-05-11,mismatch,pre,242.2410734
5,P005_stranger_Talk_mis_Pre_Trial_7_2023-05-11,mismatch,pre,242.6246794
5,P005_stranger_Talk_mis_Pre_Trial_8_2023-05-11,mismatch,pre,232.5621074
5,P005_stranger_Talk_mis_Pre_Trial_9_2023-05-11,mismatch,pre,236.9886343
5,P005_stranger_Talk_mis_Pre_Trial_10_2023-05-11,mismatch,pre,236.0570036
6,P006_stranger_Talk_match_Post_Trial_1_2023-05-11,match,post,226.5282485
6,P006_stranger_Talk_match_Post_Trial_2_2023-05-11,match,post,229.7640184
6,P006_stranger_Talk_match_Post_Trial_3_2023-05-11,match,post,232.5239945
6,P006_stranger_Talk_match_Post_Trial_4_2023-05-11,match,post,236.1731052
6,P006_stranger_Talk_match_Post_Trial_5_2023-05-11,match,post,227.0178765
6,P006_stranger_Talk_match_Post_Trial_6_2023-05-11,match,post,237.2926642
6,P006_stranger_Talk_match_Post_Trial_7_2023-05-11,match,post,229.3291002
6,P006_stranger_Talk_match_Post_Trial_8_2023-05-11,match,post,234.0898802
6,P006_stranger_Talk_match_Post_Trial_9_2023-05-11,match,post,226.5950402
6,P006_stranger_Talk_match_Post_Trial_10_2023-05-11,match,post,232.6915637
6,P006_stranger_Talk_match_Pre_Trial_1_2023-05-11,match,pre,236.1731052
6,P006_stranger_Talk_match_Pre_Trial_2_2023-05-11,match,pre,194.214603
6,P006_stranger_Talk_match_Pre_Trial_3_2023-05-11,match,pre,188.3841427
6,P006_stranger_Talk_match_Pre_Trial_4_2023-05-11,match,pre,189.5717915
6,P006_stranger_Talk_match_Pre_Trial_5_2023-05-11,match,pre,194.1974091
6,P006_stranger_Talk_match_Pre_Trial_6_2023-05-11,match,pre,193.594974
6,P006_stranger_Talk_match_Pre_Trial_7_2023-05-11,match,pre,190.9268707
6,P006_stranger_Talk_match_Pre_Trial_8_2023-05-11,match,pre,188.7602588
6,P006_stranger_Talk_match_Pre_Trial_9_2023-05-11,match,pre,189.8160495
6,P006_stranger_Talk_match_Pre_Trial_10_2023-05-11,match,pre,192.6075944
6,P006_stranger_Talk_mis_Post_Trial_1_2023-05-11,mismatch,post,245.6834761
6,P006_stranger_Talk_mis_Post_Trial_2_2023-05-11,mismatch,post,241.6017328
6,P006_stranger_Talk_mis_Post_Trial_3_2023-05-11,mismatch,post,254.5590778
6,P006_stranger_Talk_mis_Post_Trial_4_2023-05-11,mismatch,post,235.0160934
6,P006_stranger_Talk_mis_Post_Trial_5_2023-05-11,mismatch,post,250.5482485
6,P006_stranger_Talk_mis_Post_Trial_6_2023-05-11,mismatch,post,247.9823591
6,P006_stranger_Talk_mis_Post_Trial_7_2023-05-11,mismatch,post,250.6173224
6,P006_stranger_Talk_mis_Post_Trial_8_2023-05-11,mismatch,post,247.1510379
6,P006_stranger_Talk_mis_Post_Trial_9_2023-05-11,mismatch,post,253.7007784
6,P006_stranger_Talk_mis_Post_Trial_10_2023-05-11,mismatch,post,247.0547421
6,P006_stranger_Talk_mis_Pre_Trial_1_2023-05-11,mismatch,pre,250.4306934
6,P006_stranger_Talk_mis_Pre_Trial_2_2023-05-11,mismatch,pre,273.2950478
6,P006_stranger_Talk_mis_Pre_Trial_3_2023-05-11,mismatch,pre,243.4450515
6,P006_stranger_Talk_mis_Pre_Trial_4_2023-05-11,mismatch,pre,235.0291806
6,P006_stranger_Talk_mis_Pre_Trial_5_2023-05-11,mismatch,pre,229.6291929
6,P006_stranger_Talk_mis_Pre_Trial_6_2023-05-11,mismatch,pre,243.494306
6,P006_stranger_Talk_mis_Pre_Trial_7_2023-05-11,mismatch,pre,247.5877338
6,P006_stranger_Talk_mis_Pre_Trial_8_2023-05-11,mismatch,pre,247.812829
6,P006_stranger_Talk_mis_Pre_Trial_9_2023-05-11,mismatch,pre,256.1614804
6,P006_stranger_Talk_mis_Pre_Trial_10_2023-05-11,mismatch,pre,255.0284639
7,P007_stranger_Talk_match_Post_Trial_1_2023-05-15,match,post,254.234855
7,P007_stranger_Talk_match_Post_Trial_2_2023-05-15,match,post,249.5496995
7,P007_stranger_Talk_match_Post_Trial_3_2023-05-15,match,post,255.4542425
7,P007_stranger_Talk_match_Post_Trial_4_2023-05-15,match,post,252.5032688
7,P007_stranger_Talk_match_Post_Trial_5_2023-05-15,match,post,245.9704176
7,P007_stranger_Talk_match_Post_Trial_6_2023-05-15,match,post,251.6680473
7,P007_stranger_Talk_match_Post_Trial_7_2023-05-15,match,post,254.1571121
7,P007_stranger_Talk_match_Post_Trial_8_2023-05-15,match,post,243.1589241
7,P007_stranger_Talk_match_Post_Trial_9_2023-05-15,match,post,250.6079501
7,P007_stranger_Talk_match_Post_Trial_10_2023-05-15,match,post,242.9474209
7,P007_stranger_Talk_match_Pre_Trial_1_2023-05-15,match,pre,251.806413
7,P007_stranger_Talk_match_Pre_Trial_2_2023-05-15,match,pre,231.4100327
7,P007_stranger_Talk_match_Pre_Trial_3_2023-05-15,match,pre,236.9902981
7,P007_stranger_Talk_match_Pre_Trial_4_2023-05-15,match,pre,243.8631299
7,P007_stranger_Talk_match_Pre_Trial_5_2023-05-15,match,pre,239.4643788
7,P007_stranger_Talk_match_Pre_Trial_6_2023-05-15,match,pre,244.3909517
7,P007_stranger_Talk_match_Pre_Trial_7_2023-05-15,match,pre,260.7550765
7,P007_stranger_Talk_match_Pre_Trial_8_2023-05-15,match,pre,253.4111429
7,P007_stranger_Talk_match_Pre_Trial_9_2023-05-15,match,pre,259.376071
7,P007_stranger_Talk_match_Pre_Trial_10_2023-05-15,match,pre,254.1673737
